movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm
20247634,알러지,Allergy,2023.0,,단편,기타,한국,멜로/로맨스,한국,멜로/로맨스
20247656,"이주여성배구단 ""유니버셜스타즈""",,2023.0,,단편,기타,한국,다큐멘터리,한국,다큐멘터리
20247658,"""사랑해""주세요",Please love me,2023.0,,단편,기타,한국,"미스터리,드라마,멜로/로맨스",한국,미스터리
20247657,여기가 아닌 어딘가,,2022.0,,단편,기타,한국,다큐멘터리,한국,다큐멘터리
20247612,시아버지에게 중독된 며느리 4,,2022.0,,장편,기타,일본,성인물(에로),일본,성인물(에로)
20247653,친구 엄마의 꿀 바디 온몸 간병,,2022.0,,장편,기타,일본,성인물(에로),일본,성인물(에로)
20247633,만약에,,2022.0,,단편,기타,한국,드라마,한국,드라마
20247611,골목길,The alley,2023.0,,단편,기타,한국,드라마,한국,드라마
20247609,X같아도 파이팅 해야지,X,2024.0,,단편,기타,한국,드라마,한국,드라마
20232913,숨 참고 다이브,Dive into you,2022.0,,단편,기타,한국,드라마,한국,드라마
20224771,꼬마이모,My Little Aunt,2022.0,,단편,기타,한국,드라마,한국,드라마
20247608,파묘,At The Crack Of Dawn,,,단편,기타,한국,드라마,한국,드라마
20236074,새들이 사는 마을,The Birds’ Hill,2023.0,,단편,기타,한국,"드라마,판타지",한국,드라마
20040476,사랑도 통역이 되나요?,Lost In Translation,2003.0,20040220.0,장편,개봉,미국,"멜로/로맨스,액션",미국,멜로/로맨스
20247607,길 위의 인생 - 자오족 여인의 길,Life on the Road - The Way of a Zhao Woman,2015.0,,장편,기타,한국,다큐멘터리,한국,다큐멘터리
20247383,청춘 돼지는 책가방 소녀의 꿈을 꾸지 않는다,Rascal Does Not Dream of a Knapsack Kid,2023.0,20240201.0,장편,개봉,일본,애니메이션,일본,애니메이션
20247306,청소 아줌마가 좋아죽는 대물맛,,2023.0,20240201.0,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20247438,청년 성욕 간파한 50대 중년 점술가,,2023.0,,장편,기타,일본,성인물(에로),일본,성인물(에로)
20247305,자연산 거유 출렁이는 여직원,,2023.0,20240201.0,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20247456,예비 새엄마와 이모가 해준 저질 목욕,,2023.0,,장편,기타,일본,성인물(에로),일본,성인물(에로)
20247418,새엄마보다 할머니를 좋아한 아들,,2023.0,,장편,기타,일본,성인물(에로),일본,성인물(에로)
20247074,건국전쟁,The Birth of Korea,2023.0,20240201.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리
20247603,뭔말,What to say,2023.0,,단편,기타,한국,"드라마,멜로/로맨스,판타지",한국,드라마
20247613,아이,I,2018.0,,단편,기타,한국,"판타지,드라마",한국,판타지
20247602,엘리엇,ELLIOT,2015.0,,단편,기타,"미국,한국","SF,드라마,멜로/로맨스,애니메이션,판타지",미국,SF
20234807,두 세계 사이에서,Between Two Worlds,2020.0,20240131.0,장편,개봉,프랑스,드라마,프랑스,드라마
20247584,더 비기닝,The Beginning,2019.0,,단편,기타,"미국,한국","드라마,판타지,애니메이션,가족",미국,드라마
20247601,이아이: 이모셔널 인텔리젼스,ei: emotional intelligence,2016.0,,단편,기타,"미국,한국","SF,드라마,판타지,애니메이션,멜로/로맨스",미국,SF
20231455,익스트림 페스티벌,Extreme Festival,2022.0,20230607.0,장편,개봉,한국,"코미디,드라마",한국,코미디
20247598,친구아빠 3 무삭제,,2023.0,,장편,기타,한국,멜로/로맨스,한국,멜로/로맨스
20247597,펠롱펠롱,Twinkle Twinkle,2023.0,,장편,기타,한국,다큐멘터리,한국,다큐멘터리
20163352,300 스파르탄,The 300 Spartans,1962.0,,장편,기타,미국,"전쟁,드라마",미국,전쟁
20212406,여공의 밤,The Night of the Factory Girls,2023.0,,장편,후반작업,한국,다큐멘터리,한국,다큐멘터리
20230803,미확인,Unidentified,2022.0,,장편,개봉준비,한국,"드라마,SF",한국,드라마
20225875,당신의 아이,Your Child,2022.0,,단편,기타,한국,"가족,스릴러",한국,가족
20223565,다음 소희,Next Sohee,2022.0,20230208.0,장편,개봉,한국,드라마,한국,드라마
20227670,그리고 집,I′m Here,2022.0,,단편,기타,한국,"공포(호러),가족,미스터리",한국,공포(호러)
19920053,시라소니,Sirasoni,1992.0,19920808.0,장편,개봉,한국,액션,한국,액션
20228210,괴인,A Wild Roomer,2022.0,20231108.0,장편,개봉,한국,드라마,한국,드라마
20216573,고잉홈,Going Home,2021.0,,단편,기타,한국,드라마,한국,드라마
20113884,모던 패밀리,Modern Family,2011.0,,단편,기타,한국,"드라마,공포(호러),스릴러,가족",한국,드라마
20193586,0609_청계산,"A Weekend, and the Mountain",2012.0,,단편,기타,한국,드라마,한국,드라마
20228573,고양이 키스,Cat Kiss,2022.0,,장편,기타,한국,드라마,한국,드라마
20235912,멜로망스,,2023.0,,장편,촬영진행,한국,"코미디,멜로/로맨스",한국,코미디
20247410,탐나는 부하직원의 아내-남편을 위해 벌려라,JYOUSITBUKANOTUMA-14,2022.0,20240131.0,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스
20247427,크레센도 반 클라이번 콩쿠르 실황,Crescendo Live from the Cliburn,2023.0,20240131.0,장편,개봉,미국,"공연,다큐멘터리",미국,공연
20247411,젖은 과외쌤-비에 젖은 K컵은 못참지,TUBUNURE,2022.0,20240131.0,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20247336,자위에 빠진 아줌마 달래주는 단골손님,,2023.0,,장편,기타,일본,성인물(에로),일본,성인물(에로)
20236694,아톰 새로운 시작,Astro Boy,2009.0,20240131.0,장편,개봉,미국,애니메이션,미국,애니메이션
20120920,아녜스 V에 의한 제인 B,Jane B. for Agnes V.,1988.0,20240131.0,장편,개봉,프랑스,판타지,프랑스,판타지
20247412,새엄마의 립서비스-남편 몰래 매일 세웠다,HIKIKOMORI,2022.0,20240131.0,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20247425,새엄마가 뒷문을 열어줬다,GUBUNIDAKARETAWATASI-04,2022.0,20240131.0,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20236776,비욘드 유토피아,Beyond Utopia,2023.0,20240131.0,장편,개봉,미국,다큐멘터리,미국,다큐멘터리
20246984,킬 힘: 더 리벤지,The Best Man,2023.0,,장편,기타,미국,"액션,범죄",미국,액션
20247523,프롬 고향,From. Gohyang,2020.0,,단편,기타,한국,다큐멘터리,한국,다큐멘터리
20247576,배달의 찰스,Deliveryman Charles,2023.0,,단편,기타,한국,"드라마,코미디",한국,드라마
20247575,그녀가 사는 시간,,2014.0,,단편,기타,한국,드라마,한국,드라마
20236933,봉신연의: 조가풍운,Creation Of The Gods I: Kingdom Of Strom,2023.0,20240124.0,장편,개봉,중국,"전쟁,판타지,액션",중국,전쟁
